"participant_code","mode_survey","assign_date","assign_week_day","actual_date","actual_week_day","actual_hour","age_or_range","age_or_mid_range","gender","full_or_part_time","work_role","edu","indiv_or_family_income","income_mid_range","place_birth","district","ethnicity","permanent_residence","num_usual_contacts","include_all_contacts","num_left_out","num_diary_contact","age_weights","houseSize","distance","weights"
36747282,1,352,7,370.702743055532,0,16,1,"21-40",0,1,1,"secondary",1,"10-19k",1,7,1,1,2,1,9001,9,12.9032258064516,"2",0.409491703597208,1
36952004,0,368,2,368.669930555508,0,16,1,"41-65",0,1,1,"postsec",1,"20-39k",1,14,1,1,4,1,9001,8,12.2399020807834,"4",0.37646296963396,1
36996736,1,60,2,83.7389814815251,0,17,1,">65",0,999,6,"primary",999,"unknown",2,13,1,1,4,999,9001,2,7.96178343949044,"4",0.989936210057084,1
37066265,0,339,1,345.913414351875,1,21,2,"41-65",1,1,1,"secondary",1,"20-39k",1,10,1,1,4,997,11,5,10.6837606837607,"4",0.533144106822262,1
37396748,1,352,7,370.728472222225,0,17,2,"41-65",0,1,1,"secondary",1,"10-19k",2,14,1,999,6,1,9001,7,12.2399020807834,">=5",0.78617613514555,1
37420699,0,375,2,375.44969907403,0,10,1,"0-10",1,999,999,"unknown",2,">=40k",1,2,1,1,5,1,9001,4,23.5294117647059,">=5",0.347759588426766,1
37553666,0,28,5,26.8779513889458,0,21,2,"41-65",1,999,999,"secondary",999,"unknown",1,5,1,1,3,1,9001,2,14.5348837209302,"3",0.418715722448436,1
37594009,0,42,5,41.5995949073695,0,14,1,"41-65",1,1,1,"secondary",1,"10-19k",1,13,1,1,3,1,9001,5,12.3762376237624,"3",0.742985336594096,1
37809153,0,357,5,357.890914351796,0,21,2,"21-40",1,999,999,"postsec",2,">=40k",1,8,1,1,4,1,9001,5,12.9032258064516,"4",0.0715362457496729,1
37827890,1,24,1,28.779583333293,0,18,1,"41-65",1,999,999,"primary",2,"10-19k",1,6,1,1,4,1,9001,15,11.3636363636364,"4",0.907647338904226,1
38120101,1,397,3,410.676423611119,0,16,1,"11-19",0,1,4,"secondary",2,"10-19k",1,2,1,1,4,1,9001,10,20.0400801603206,"4",0.345940324980665,1
38271972,1,352,7,354.450729166623,0,10,2,"41-65",1,999,1,"primary",2,"10-19k",1,18,1,1,3,1,9001,6,12.2399020807834,"3",0.899577509626183,1
38409554,1,101,1,112.479050925933,0,11,2,"41-65",1,1,999,"primary",1,"10-19k",1,5,1,1,2,1,9001,2,11.3636363636364,"2",0.890887303041601,1
38433295,1,373,7,400.412152777775,1,9,1,"11-19",1,1,4,"primary",2,"10-19k",1,13,1,1,4,1,9001,5,20.0400801603206,"4",0.499512734283675,1
38435951,0,356,4,356.41951388889,0,10,2,"21-40",1,1,1,"secondary",1,"20-39k",1,18,1,1,3,1,9001,15,12.970168612192,"3",0.326604589152368,1
38509060,0,332,1,336.726400462911,0,17,2,"41-65",0,2,6,"postsec",1,"10-19k",1,13,1,1,6,997,7,10,18.9035916824197,">=5",0.54206434556072,1
38728677,1,349,4,371.438715277822,0,10,1,"21-40",1,1,999,"postsec",1,"20-39k",1,1,1,1,4,1,9001,4,12.3762376237624,"4",0.146258567138857,1
38819323,0,366,7,367.011574074044,0,0,2,"11-19",0,999,999,"primary",999,"unknown",1,6,1,1,7,1,9001,5,20.0400801603206,">=5",0.350368404148897,1
38831031,1,336,5,390.649687499972,0,15,2,"41-65",0,999,6,"primary",1,"<10k",997,11,1,1,3,1,9001,3,18.9035916824197,"3",0.902125333597764,1
