participant_code,mode_survey,assign_date,assign_week_day,actual_date,actual_week_day,actual_hour,age_or_range,age_or_mid_range,gender,full_or_part_time,work_role,edu,indiv_or_family_income,income_mid_range,place_birth,district,ethnicity,permanent_residence,num_usual_contacts,total_hrs_participant,physical_hrs_participant
47837972,1,379,6,400.73929398146,6,17,2,8,1,999,4,1,1,1,1,11,998,1,3,44.1666666666667,27.9083333333333
48021733,1,320,3,355.701018518535,3,16,1,35,1,1,999,3,999,999,1,5,1,1,2,6.5,0
48064114,2,339,1,342.892951388843,4,21,1,18,1,2,4,2,999,999,1,13,1,1,3,3.11666666666667,0
48112344,2,332,1,332.153206018498,1,3,1,26,1,999,999,2,999,999,997,2,1,1,5,0.2,0
48245576,2,32,2,39.5117476851447,2,12,2,18,2,1,1,3,1,4,1,11,1,1,5,22.1583333333333,16.5
48264817,1,102,2,116.500231481506,2,12,1,78,2,1,6,1,1,1,2,1,1,1,0,2.01666666666667,0
48437164,2,42,5,42.4896875000559,5,11,2,38,1,1,5,3,2,9,1,5,1,1,4,15.9833333333333,11.4083333333333
48451909,2,28,5,45.5654398148181,1,13,1,52,1,1,1,3,2,11,1,6,1,1,1,2.5,2.5
48478716,1,349,4,413.443842592649,5,10,1,37,2,1,1,3,1,8,1,5,1,1,4,18.8666666666667,14.5
48566599,2,357,5,357.419270833372,5,10,2,38,2,2,3,3,999,999,1,14,1,1,4,14.5,8
48583070,2,316,6,316.412118055508,6,9,2,13,1,1,4,2,999,999,1,16,1,1,2,70.3166666666667,34.8166666666667
48711852,1,352,7,369.462141203694,3,11,1,29,2,2,1,3,1,2,1,18,1,1,2,14,11.5
48874542,2,332,1,333.973310185131,2,23,2,38,1,1,1,3,2,10,1,16,1,1,4,3.25833333333333,1.85
48885926,1,374,1,427.534652777831,5,12,2,3,2,999,1,999,2,4,1,6,1,1,3,6.5,6.5
49036139,2,340,2,337.877106481465,6,21,2,18,1,2,4,2,999,999,1,5,1,1,1,2.5,0
49051874,2,105,5,109.499953703722,2,11,2,13,2,999,999,1,2,7,1,18,1,1,3,21,14.5
49059689,2,318,1,319.673402777757,2,16,2,28,2,1,3,3,1,5,1,5,1,1,1,4.61666666666667,4.61666666666667
49226652,2,375,2,375.388900463004,2,9,1,41,1,1,1,2,1,2,1,15,1,1,2,5.61666666666667,0.616666666666667
49249560,1,320,3,337.725787037052,6,17,1,54,1,1,1,3,2,7,1,17,1,1,1,9.4,0
49392448,2,339,1,341.902650462929,3,21,2,23,2,1,1,3,1,5,1,7,1,1,2,10.5,10.5
49616996,2,339,1,346.774421296315,1,18,2,13,2,999,999,2,2,9,1,3,1,1,3,0.616666666666667,0
49658715,2,323,6,323.975937500014,6,23,2,43,1,1,1,3,1,9,1,11,1,1,4,3.56666666666667,2.5
49875021,2,231,5,231.848750000005,5,20,1,30,2,1,1,3,1,5,1,2,1,1,0,2.5,2.5
49924420,2,178,1,178.808032407425,1,19,1,28,1,2,3,3,2,11,1,6,1,1,3,6.39166666666667,2.5
49995427,2,29,6,26.8553356481716,3,20,1,15,1,999,999,2,2,3,1,9,1,1,2,0.616666666666667,0.616666666666667
50008060,2,331,7,344.717604166712,6,17,1,2,2,999,999,1,1,5,1,18,1,1,3,8.15833333333333,8.15833333333333
50042587,1,34,4,83.4528124999488,4,10,1,45,2,999,5,2,2,4,998,17,1,1,3,8.80833333333333,8
50074653,1,46,2,83.7682754630223,4,18,2,38,1,1,1,3,1,6,1,15,1,1,3,56,12
50084327,2,339,1,339.509756944492,1,12,1,3,2,1,4,1,2,5,1,15,1,1,2,0.158333333333333,0
50139229,1,373,7,393.683356481488,6,16,1,36,2,1,1,2,1,2,2,5,1,1,1,0.0416666666666667,0
50322326,2,375,2,372.539375000051,6,12,2,43,2,999,999,999,999,999,1,999,1,1,3,2.5,0
50386662,2,356,4,360.670138888876,1,16,2,58,1,2,6,3,999,999,1,13,1,1,0,0.933333333333333,0
50440925,2,331,7,336.777581018512,5,18,1,24,2,999,999,3,2,9,1,16,1,1,2,8.61666666666667,8.61666666666667
50513512,2,163,7,165.01855324069,2,0,1,55,2,2,6,2,1,1,1,14,1,1,1,40.2,4
50519942,1,32,2,83.6074884259142,4,14,1,42,1,1,3,2,2,5,2,13,1,1,3,22.7166666666667,13.85
50618404,2,350,5,348.869004629669,3,20,1,22,2,1,1,3,1,3,2,6,1,1,3,0.125,0.0833333333333333
50668489,1,362,3,393.643900463008,6,15,1,8,2,1,4,1,999,999,1,12,1,1,5,10.6666666666667,2.5
50738539,1,101,1,118.439259259263,4,10,1,60,2,1,5,2,2,5,2,11,1,1,3,12.3583333333333,12
50883182,1,102,2,105.748194444459,5,17,1,75,1,999,6,3,999,999,1,17,1,1,2,5,0
50895211,2,97,4,95.6560648147715,2,15,2,13,2,999,999,2,999,999,997,14,1,1,4,5,2.5
50919735,1,349,4,368.719768518466,2,17,1,51,1,1,1,1,1,3,1,3,1,1,2,14.2916666666667,13.2333333333333
