participant_code,mode_survey,assign_date,assign_week_day,actual_date,actual_week_day,actual_hour,age_or_range,age_or_mid_range,gender,full_or_part_time,work_role,edu,indiv_or_family_income,income_mid_range,place_birth,district,ethnicity,permanent_residence
21572472,2,204,6,204.882141203736,6,21,2,43,2,999,999,2,2,9,1,13,1,1
21654428,2,323,6,321.629502314841,4,15,1,24,2,1,4,2,1,1,2,14,1,1
21975579,1,29,6,111.772152777761,4,18,1,59,2,2,6,1,2,1,1,17,1,1
22119973,2,323,6,321.508333333302,4,12,1,25,1,1,1,3,1,2,1,9,1,1
22148144,2,36,6,35.6365972221829,5,15,2,43,1,1,1,3,1,8,1,18,1,1
22301029,1,349,4,368.740601851838,2,17,1,60,1,999,6,2,1,5,1,13,1,1
22411792,2,366,7,367.408969907439,1,9,1,36,1,2,1,3,2,8,1,17,1,1
22430958,2,356,4,355.824675925891,3,19,2,48,1,1,1,2,999,999,1,13,1,1
22804641,1,352,7,371.432199074072,5,10,2,3,2,1,4,1,999,999,1,15,1,1
22886585,2,375,2,370.700636574067,4,16,1,11,1,999,999,1,999,999,1,2,1,1
22985548,1,349,4,368.729131944478,2,17,1,11,2,1,4,1,2,7,1,16,1,1
23007476,2,86,7,84.7115277778357,5,17,1,41,1,1,3,3,2,6,1,13,1,1
23117844,2,366,7,366.915381944389,7,21,2,13,2,999,999,1,999,999,1,18,1,1
23221606,2,352,7,352.744004629669,7,17,1,9,1,999,999,1,999,999,1,4,1,1
23440991,2,389,2,389.923645833274,2,22,2,8,2,1,4,1,999,999,1,6,1,1
23499032,1,373,7,391.513252314762,4,12,1,32,1,1,1,3,1,5,2,9,1,1
23601144,1,352,7,369.437615740695,3,10,1,63,1,1,1,2,2,6,1,1,1,1
23631969,2,375,2,376.919594907435,3,22,1,43,1,999,999,3,999,999,1,7,1,1
23718206,2,141,6,139.425752314855,4,10,1,19,2,999,999,2,2,5,1,16,1,1
23764485,2,31,1,31.4192708333721,1,10,1,19,1,999,999,2,999,999,1,5,1,1
23869239,2,10,1,25.5304861110635,2,12,1,38,1,1,1,3,1,5,1,11,1,1
23919020,2,27,4,33.5896296296269,3,14,2,38,2,1,3,2,1,4,2,13,1,1
24024370,1,349,4,354.463136574021,2,11,2,23,1,1,1,3,1,998,1,2,1,1
24024711,1,145,3,259.480879629613,5,11,1,54,2,1,1,1,1,999,1,2,1,1
24149384,2,328,4,328.941412037006,4,22,1,26,2,1,1,3,1,3,1,12,1,1
24248656,2,331,7,427.530381944496,5,12,1,50,2,2,5,3,999,999,1,1,1,1
24286762,2,353,1,350.605972222169,5,14,1,31,2,1,1,3,1,6,2,4,1,1
24370596,1,379,6,400.648680555518,6,15,1,7,1,999,4,1,999,999,1,9,1,1
24445376,1,98,5,118.783506944426,4,18,1,60,1,999,6,2,2,6,1,6,1,1
24498627,2,28,5,27.4114930555224,4,9,2,53,2,1,1,2,999,999,1,2,1,1
24533540,2,328,4,328.845324074035,4,20,2,8,1,1,4,1,1,1,1,1,1,1
24577058,1,23,7,28.7600115740206,5,18,1,60,2,999,5,2,2,3,1,6,1,1
24620397,2,377,4,377.885810185224,4,21,1,33,1,1,1,3,1,7,1,2,1,1
24638255,2,332,1,334.166458333377,3,3,2,33,2,1,5,2,2,6,1,6,1,1
24730187,1,336,5,354.497256944422,2,11,1,50,2,2,2,2,2,3,2,6,1,1
24760713,1,18,2,25.5346527778311,2,12,1,55,1,1,1,2,1,4,1,3,1,1
24809664,2,238,5,239.49325231486,6,11,2,23,2,1,1,3,1,3,1,18,1,1
25074113,2,387,7,386.945370370406,6,22,1,12,2,999,999,1,999,999,1,6,1,1
25169140,2,22,6,25.6178703703918,2,14,2,38,2,999,999,3,1,5,1,15,1,1
25281029,1,101,1,110.515972222202,3,12,1,57,2,2,1,2,2,3,1,3,1,1
25300496,1,352,7,370.460312500014,4,11,1,5,1,999,4,1,2,2,2,11,1,1
25328987,2,328,4,328.821400462999,4,19,2,43,2,999,999,2,999,999,1,13,1,1
25419195,2,19,3,20.0534375000279,4,1,1,39,1,1,1,3,999,999,1,11,1,1
25593841,2,85,6,88.0147453703685,2,0,1,32,1,1,1,3,1,5,1,17,1,1
25907403,2,328,4,328.688414351898,4,16,2,18,1,1,1,3,2,8,1,6,1,1
25993392,2,81,2,83.7159375000047,4,17,1,51,1,1,1,2,2,7,1,17,1,1
26015614,1,145,3,252.498252314865,5,11,1,62,1,999,6,2,2,8,2,18,1,1
26075094,1,113,6,113.641134259291,6,15,1,60,1,1,3,1,1,3,1,14,1,999
26343036,2,366,7,364.479224537034,5,11,2,33,1,1,1,3,1,7,1,14,1,1
26354694,1,349,4,369.62553240743,3,15,1,32,2,1,1,3,2,7,1,2,1,1
26616425,2,370,4,371.011087963008,5,0,1,7,1,1,4,1,1,1,1,17,1,1
26742090,1,32,2,36.7867824074347,6,18,1,76,2,999,6,2,999,1,999,14,1,1
26937464,1,28,5,32.7223379629431,2,17,1,68,1,1,3,2,1,8,997,13,1,1
27041623,1,102,2,105.781840277836,5,18,1,79,1,999,6,3,999,999,2,17,1,1
27076603,1,198,7,259.761724537006,5,18,1,60,2,1,1,1,999,2,1,11,1,1
27250942,2,351,6,348.824444444384,3,19,2,23,1,1,1,3,1,4,1,15,1,1
27571683,1,336,5,364.500613425975,5,12,1,49,2,999,999,2,999,999,2,18,1,1
27608939,1,23,7,28.7839467593003,5,18,1,47,1,999,999,1,999,999,1,3,1,1
27715859,1,373,7,400.536296296283,6,12,1,32,1,1,1,3,1,6,1,14,1,1
27743004,2,334,3,334.938217592542,3,22,1,29,2,1,1,3,999,3,1,12,1,1
27951738,2,352,7,371.484502314823,5,11,2,38,1,1,1,3,2,11,1,2,1,1
27992971,2,328,4,326.806979166693,2,19,1,63,1,2,6,2,2,4,1,15,1,1
28028420,2,213,1,210.758495370392,5,18,2,18,2,999,999,3,2,6,1,17,1,1
28096802,2,105,5,105.79271990736,5,19,2,13,1,1,1,2,2,8,1,14,1,1
28241619,1,320,3,354.433101851842,2,10,2,63,1,999,6,1,1,1,1,13,1,1
28294664,2,350,5,348.851597222267,3,20,1,49,2,999,999,2,999,999,1,999,1,1
28299235,2,340,2,337.94328703708,6,22,2,23,1,2,999,3,1,3,1,18,1,1
