participant_code,include_all_contacts,diary_contact_idx,contact_age_or_range,contact_age_or_mid_range,contact_gender,contact_member,skin_contact,non_physical_contact,total_time,house_contact,work_contact,school_contact,transport_contact,other_contact,how_often,record_time,record_date
14017158,999,25,1,57,1,5,1,2,3,9001,2,9001,9001,9001,3,736696.536111111,369
14017158,999,26,1,60,2,1,9001,2,4,1,9001,9001,9001,9001,3,736696.536111111,369
14017158,999,27,1,67,1,1,1,2,4,1,9001,9001,9001,9001,4,736696.536805556,369
14017158,999,28,1,62,2,1,9001,2,4,1,9001,9001,9001,9001,4,736696.5375,369
14017158,999,29,1,33,2,1,9001,2,4,1,9001,9001,9001,9001,4,736696.5375,369
69715294,997,1,2,25,2,1,9001,2,4,1,9001,9001,9001,9001,1,736696.49375,370
69715294,997,2,2,25,1,1,9001,2,4,1,9001,9001,9001,9001,1,736696.49375,370
69715294,997,3,2,55,999,1,1,2,5,1,9001,9001,9001,9001,1,736696.494444444,370
69715294,997,4,2,45,2,5,9001,2,5,9001,2,9001,9001,9001,1,736696.494444444,370
69715294,997,5,2,55,2,5,9001,2,5,9001,2,9001,9001,9001,1,736696.495138889,370
69715294,997,6,2,25,2,997,9001,2,4,9001,9001,9001,9001,997,1,736696.495138889,370
69715294,997,7,2,55,1,5,9001,2,5,9001,2,9001,9001,9001,1,736696.495138889,370
69715294,997,8,2,55,2,5,9001,2,5,9001,2,9001,9001,9001,1,736696.495833333,370
69715294,997,9,2,55,2,997,9001,2,4,9001,9001,9001,9001,997,3,736696.495833333,370
87452223,1,1,1,58,1,1,1,2,4,1,9001,9001,9001,9001,1,736696.446527778,371
87452223,1,2,1,58,2,1,1,2,4,1,9001,9001,9001,9001,1,736696.446527778,371
87452223,1,3,1,29,1,1,1,2,5,1,9001,9001,9001,9001,1,736696.446527778,371
83473702,1,1,2,23,1,1,1,2,4,1,9001,9001,4,997,1,736696.548611111,351
83473702,1,2,2,23,2,1,1,2,4,1,9001,9001,4,997,1,736696.548611111,351
