participant_code,residence_type,num_usual_contacts,usual_contact_idx,usual_age_or_range,usual_age_or_mid_range,usual_gender,usual_relation
52252915,1,2,1,1,33,2,3
52252915,1,2,2,1,38,1,997
88325559,1,3,1,2,13,2,3
88325559,1,3,2,2,43,1,1
88325559,1,3,3,2,13,1,3
93861947,1,4,1,2,38,1,3
93861947,1,4,2,2,33,2,997
93861947,1,4,3,2,13,1,6
93861947,1,4,4,2,13,2,6
65669222,1,4,1,1,3,1,3
65669222,1,4,2,1,31,2,1
65669222,1,4,3,1,28,1,4
65669222,1,4,4,1,42,2,997
50074653,1,3,1,1,38,2,1
50074653,1,3,2,1,15,1,3
50074653,1,3,3,1,6,2,3
96129125,1,3,1,1,93,1,1
96129125,1,3,2,1,56,2,3
96129125,1,3,3,1,20,2,6
69686269,1,4,1,2,33,2,1
69686269,1,4,2,2,8,2,3
69686269,1,4,3,2,8,2,3
69686269,1,4,4,2,33,2,997
51480006,1,3,1,2,58,1,2
51480006,1,3,2,2,58,2,2
51480006,1,3,3,2,18,2,4
77400450,1,3,1,2,18,1,3
77400450,1,3,2,2,13,1,3
77400450,1,3,3,2,48,1,1
34840824,1,3,1,2,43,1,2
34840824,1,3,2,2,43,2,2
34840824,1,3,3,2,13,1,4
61277462,1,2,1,1,53,2,1
61277462,1,2,2,1,22,1,3
16030864,1,2,1,2,58,1,5
16030864,1,2,2,1,63,2,5
80692557,1,3,1,2,48,1,1
80692557,1,3,2,2,18,1,3
80692557,1,3,3,2,13,2,3
42252204,1,3,1,1,42,1,1
42252204,1,3,2,1,10,1,3
42252204,1,3,3,1,7,2,3
79510513,1,3,1,2,13,2,4
79510513,1,3,2,2,43,2,2
79510513,1,3,3,2,53,1,2
36996736,999,3,1,1,65,2,1
36996736,999,3,2,1,31,2,3
36996736,999,3,3,1,30,1,3
44255633,1,2,1,2,63,1,2
44255633,1,2,2,2,63,2,2
63322807,1,1,1,1,86,1,1
97353068,1,2,1,1,83,1,5
97353068,1,2,2,1,43,2,2
65971613,1,1,1,2,48,1,1
67780617,1,1,1,1,35,1,3
90340922,1,2,1,1,65,2,1
90340922,1,2,2,1,22,2,6
47405812,1,4,1,2,48,2,2
47405812,1,4,2,1,24,2,4
47405812,1,4,3,1,22,2,4
47405812,1,4,4,1,20,1,4
21493813,1,1,1,1,65,2,1
25993392,1,2,1,1,48,2,1
25993392,1,2,2,1,19,1,3
39048243,1,2,1,1,64,1,1
39048243,1,2,2,1,93,1,2
99569871,1,3,1,2,53,2,2
99569871,1,3,2,2,53,1,2
99569871,1,3,3,2,13,2,4
11772427,1,3,1,2,28,1,2
11772427,1,3,2,2,28,2,2
11772427,1,3,3,2,28,2,999
63008192,1,3,1,1,21,2,4
63008192,1,3,2,1,52,2,2
63008192,1,3,3,1,53,1,2
96990501,1,2,1,1,52,2,1
96990501,1,2,2,1,22,1,3
29061212,1,2,1,2,58,1,2
29061212,1,2,2,2,58,2,2
71179205,1,3,1,2,23,2,4
71179205,1,3,2,2,53,2,2
71179205,1,3,3,2,58,1,2
80433299,1,3,1,2,43,2,2
80433299,1,3,2,2,13,2,4
80433299,1,3,3,2,13,2,4
42281271,1,3,1,1,51,1,1
42281271,1,3,2,1,24,2,3
42281271,1,3,3,1,18,2,3
62675382,1,3,1,2,33,1,1
62675382,1,3,2,2,8,2,3
62675382,1,3,3,2,3,2,3
15392694,1,1,1,2,18,1,3
41863876,1,3,1,2,38,1,2
41863876,1,3,2,2,38,2,2
41863876,1,3,3,2,8,1,4
80014822,1,2,1,1,32,2,1
80014822,1,2,2,1,0,1,3
70840470,1,1,1,1,60,2,2
32332436,1,3,1,1,65,2,2
32332436,1,3,2,1,61,1,2
32332436,1,3,3,1,37,1,4
61743700,1,3,1,1,66,1,1
61743700,1,3,2,1,26,2,3
61743700,1,3,3,1,57,2,999
32308292,1,1,1,1,86,2,2
60944735,1,1,1,2,58,2,2
30242809,1,3,1,2,43,1,2
30242809,1,3,2,2,43,2,2
30242809,1,3,3,2,18,1,4
89306456,1,4,1,1,58,1,5
89306456,1,4,2,1,34,1,2
89306456,1,4,3,1,34,2,2
89306456,1,4,4,1,29,2,997
71525487,1,2,1,1,63,1,2
71525487,1,2,2,1,53,2,2
11006409,1,2,1,2,48,1,1
11006409,1,2,2,2,13,1,3
98088766,1,1,1,999,9001,999,999
75774827,1,3,1,1,18,1,4
75774827,1,3,2,2,58,1,2
75774827,1,3,3,2,43,2,2
10822794,1,2,1,1,71,1,1
10822794,1,2,2,1,40,1,3
50895211,1,4,1,2,43,2,2
50895211,1,4,2,2,48,1,2
50895211,1,4,3,2,63,2,5
50895211,1,4,4,2,33,2,997
13862807,1,3,1,2,48,1,2
13862807,1,3,2,2,38,2,2
13862807,1,3,3,2,18,1,4
83550791,1,3,1,1,76,1,1
83550791,1,3,2,2,38,2,3
83550791,1,3,3,2,28,2,3
24445376,1,5,1,1,95,2,2
24445376,1,5,2,1,55,2,5
24445376,1,5,3,1,48,2,1
24445376,1,5,4,1,20,2,3
24445376,1,5,5,1,14,1,3
15172510,1,1,1,1,33,2,1
18343372,1,4,1,1,49,1,1
18343372,1,4,2,1,14,2,3
18343372,1,4,3,1,11,2,3
18343372,1,4,4,1,70,1,2
21070328,1,2,1,1,84,1,2
21070328,1,2,2,1,80,2,2
55349938,1,5,1,2,23,2,4
55349938,1,5,2,2,23,2,4
55349938,1,5,3,2,53,2,2
55349938,1,5,4,2,53,1,2
55349938,1,5,5,2,58,2,997
25593841,1,2,1,2,63,2,2
25593841,1,2,2,1,32,2,9
45580481,1,3,1,2,53,1,2
45580481,1,3,2,2,33,2,2
45580481,1,3,3,2,13,2,7
54263537,1,2,1,2,13,2,3
54263537,1,2,2,2,43,1,1
80052567,1,3,1,2,18,2,4
80052567,1,3,2,2,48,2,2
80052567,1,3,3,2,53,1,2
85581222,1,4,1,1,4,1,3
85581222,1,4,2,1,6,2,3
85581222,1,4,3,1,38,1,1
85581222,1,4,4,1,61,2,2
81491276,1,3,1,1,43,1,2
81491276,1,3,2,1,41,2,2
81491276,1,3,3,1,13,1,4
78394560,1,1,1,1,70,999,1
61487886,1,1,1,1,65,2,1
56633857,1,5,1,2,38,1,2
56633857,1,5,2,2,38,2,2
56633857,1,5,3,2,13,2,4
56633857,1,5,4,2,63,1,5
56633857,1,5,5,2,63,2,5
65894683,1,3,1,2,58,2,2
65894683,1,3,2,2,3,2,997
65894683,1,3,3,2,28,1,4
92900359,1,1,1,2,33,2,1
92644180,1,2,1,1,86,2,997
92644180,1,2,2,1,44,2,997
53976593,1,2,1,1,64,2,2
53976593,1,2,2,1,74,1,2
47327306,1,2,1,1,79,2,2
47327306,1,2,2,1,51,1,4
23007476,1,4,1,2,58,1,2
23007476,1,4,2,2,53,2,2
23007476,1,4,3,2,13,2,4
23007476,1,4,4,2,13,1,4
50513512,3,1,1,1,55,1,1
71412551,1,3,1,1,14,2,3
71412551,1,3,2,1,36,2,1
