participant_code,residence_type,num_usual_contacts
57128384,1,1
72999795,1,2
99394518,1,3
19940509,1,3
71295020,1,1
40228225,1,3
96308877,1,1
41879117,1,1
79586148,1,4
95819081,1,1
30922684,1,3
55157168,1,3
60749242,1,2
73463764,1,3
11344005,1,2
42993061,1,4
57387685,1,3
59861568,1,2
10400394,1,2
61143500,1,4
32683957,1,1
99819582,1,3
54066249,1,3
16993408,1,4
35146558,1,3
60492313,1,3
83986437,1,4
74341776,1,1
64268051,1,1
81021136,1,4
47353122,1,3
86809017,1,2
43404638,1,3
70847722,1,4
85662841,1,1
54352448,1,3
88602520,1,1
48711852,1,2
14184688,1,0
74746631,1,3
40591509,1,2
75567561,1,6
98976964,1,2
66097828,1,3
55607039,1,3
69752642,1,2
42884894,1,3
38271972,1,2
51675219,1,2
96492298,1,3
78692773,1,3
69933227,1,4
45067009,1,2
10977706,1,2
82972110,1,3
37396748,1,5
46908275,1,2
34931103,1,3
16682693,1,2
95759794,1,4
79325993,1,3
30122128,1,4
27250942,1,2
36693538,1,1
75823597,1,4
78474807,1,3
17851466,1,1
57928253,1,3
14017158,1,2
69715294,1,4
87452223,1,3
83473702,1,4
46233386,1,4
42818681,1,3
91464655,1,3
98903367,1,3
41323143,1,4
35411283,1,2
84836384,1,4
93799182,1,3
96732089,1,3
92769599,1,4
18382054,1,2
88108809,1,0
60050415,1,2
54775752,1,5
19089426,1,4
41210102,2,0
24286762,1,1
65147287,1,3
70419190,1,3
91964417,1,6
93592898,1,3
84657836,1,1
79586105,1,1
18636645,1,2
22430958,1,3
33967483,1,4
46984835,1,5
14963423,1,4
91575539,1,3
64673278,1,4
65119412,1,3
62641559,1,2
88255952,1,3
13346161,1,2
14182942,1,2
80281187,1,2
58784815,1,3
69813337,1,3
93113235,1,3
36402305,1,3
82405334,1,0
16541874,3,3
38435951,1,2
50386662,1,0
45582659,1,3
77053784,1,3
77514857,1,3
35464969,1,3
58753797,1,2
60150356,1,2
93724430,1,5
47747005,1,2
48566599,999,4
40817966,1,2
37809153,1,3
26616425,1,3
41445565,1,2
16291889,1,4
29632406,1,3
60430487,1,3
65576691,1,3
87722788,1,3
45825573,1,5
14055983,1,4
87196929,1,3
57697220,1,2
56656760,1,2
44211423,1,4
38433295,1,3
92139480,1,3
35788749,1,1
76212658,1,4
60746278,1,5
93849161,1,5
70690911,1,2
27715859,1,3
93242677,1,2
42351104,1,3
