participant_code,mode_survey,time_first_access,time_last_update,duration_survey_hrs
82408233,2,736233.356655093,736233.376331019,0.472222222946584
34177785,2,736230.451909722,736230.458101852,0.148611112497747
39635444,2,736186.907048611,736186.915092593,0.193055556155741
79726647,1,736230.458773148,736230.464988426,0.149166667833924
17003087,1,736230.465960648,736230.470173611,0.101111110299826
72078799,2,736182.724664352,736182.918761574,4.65833333227783
71960333,2,736186.736782407,736188.685208333,46.7622222220525
76052461,2,736184.992916667,736184.999525463,0.158611111342907
13167951,2,736188.708703704,736188.718055556,0.224444445222616
24809664,2,736203.475763889,736204.493252315,24.4197222227231
31489875,1,736230.470740741,736230.483912037,0.316111109219491
30040475,2,736203.953900463,736203.962418981,0.204444444738328
95195460,1,736230.485798611,736230.490729167,0.118333334103227
71542602,2,736196.982789352,736209.659502315,304.241111112759
49875021,2,736196.842268519,736196.84875,0.155555555596948
97513453,2,736196.942488426,736198.977777778,48.8469444466755
44463645,2,736202.963310185,736202.971122685,0.1875
78151694,1,736236.504293981,736236.521539352,0.413888890296221
13444125,2,736216.375439815,736216.834050926,11.0066666677594
42642039,1,736236.521979167,736236.525324074,0.0802777782082558
72708443,2,736218.472280093,736218.484189815,0.285833333618939
21228817,2,736243.695335648,736243.707071759,0.281666667200625
89181039,2,736273.698263889,736273.701516204,0.0780555540695786
70346530,2,736276.866446759,736276.886064815,0.470833333209157
75083808,1,736316.624930556,736316.660289352,0.848611109890044
16192203,1,736319.517060185,736319.523020833,0.143055556342006
51580764,2,736273.3196875,736273.326006944,0.151666665449739
72126980,1,736320.642731481,736320.66650463,0.570555556565523
31937300,2,736309.031851852,736309.04818287,0.391944444738328
35266739,2,736277.008263889,736277.016180556,0.190000000409782
19633207,1,736319.726238426,736319.730960648,0.113333333283663
71798424,1,736320.644409722,736320.658194444,0.330833335407078
43193386,1,736316.674918982,736316.694166667,0.461944445036352
78845538,1,736319.683564815,736319.694791667,0.269444444216788
80797993,1,736319.713113426,736319.716921296,0.0913888905197382
93127690,2,736279.363530093,736279.370844907,0.175555553287268
85430619,2,736277.782025463,736277.7853125,0.0788888884708285
11256889,2,736279.807268518,736279.814039352,0.162500001490116
68000530,2,736279.030520833,736279.049768519,0.461944445036352
76066410,2,736279.673229167,736279.685069444,0.284166667610407
88449256,2,736278.451064815,736278.457280093,0.149166667833924
82344245,1,736302.48630787,736302.5003125,0.336111112497747
12689003,1,736319.73181713,736319.735543981,0.0894444426521659
30549698,1,736316.607638889,736316.621342593,0.328888890333474
11837502,1,736316.697384259,736316.706747685,0.224722221493721
70710924,2,736279.652615741,736279.667476852,0.356666665524244
13949447,2,736277.762152778,736277.768865741,0.161111111752689
34821983,2,736278.651030093,736279.511886574,20.6605555554852
28241619,1,736319.427337963,736319.433101852,0.138333331793547
46838614,1,736302.747060185,736302.765844907,0.450833332724869
85232112,2,736279.753587963,736279.765694444,0.29055555537343
15806456,1,736320.480949074,736320.491458333,0.252222223207355
56107256,2,736280.008252315,736280.014085648,0.140000000596046
93580543,2,736302.428900463,736302.433587963,0.112500001676381
20708861,2,736279.895775463,736315.950243056,865.307222222909
36292798,1,736313.510856482,736313.523460648,0.302499999292195
65126455,1,736319.524097222,736319.5309375,0.16416666470468
88500643,2,736280.467997685,736280.48337963,0.369166667573154
85660649,1,736320.502256944,736320.507395833,0.123333334922791
81318554,2,736279.657025463,736279.666909722,0.237222223542631
17897806,1,736320.492928241,736320.497569444,0.111388891004026
58971485,2,736280.956469907,736280.961805556,0.128055553883314
77283739,2,736278.547071759,736278.553958333,0.165277778171003
15751629,2,736278.749780093,736280.177928241,34.2755555547774
96472017,2,736279.805219907,736279.815243056,0.240555555559695
28574438,1,736320.620023148,736320.626747685,0.161388888023794
55646506,1,736316.717835648,736316.721840278,0.0961111122742295
46269850,2,736279.968912037,736279.973483796,0.109722222201526
35905977,1,736319.534305556,736319.538240741,0.0944444462656975
31244464,1,736302.741400463,736302.745868056,0.107222224585712
48583070,2,736281.399178241,736281.412118056,0.310555555857718
81336290,1,736302.685844907,736302.711481481,0.615277776494622
