participant_code,include_all_contacts,num_left_out,num_diary_contact
88413265,1,9001,6
89788386,1,9001,15
61983185,997,2,9
97343767,997,5,10
12628960,999,9001,11
90311026,997,26,42
89202614,1,9001,18
26075094,1,9001,25
90714870,997,30,16
12394988,999,9001,10
71872234,1,9001,4
97782776,997,2,16
16387639,1,9001,3
15601792,1,9001,1
73335815,1,9001,4
44169120,1,9001,12
58408751,1,9001,1
92606367,999,9001,1
49924420,997,300,5
39360542,1,9001,6
40362114,1,9001,4
93954677,999,9001,24
58509536,997,78,2
59400976,1,9001,4
82315826,1,9001,5
40254546,1,9001,7
23718206,1,9001,3
87898918,1,9001,8
99454600,997,10,1
17004422,1,9001,11
24024711,999,9001,19
71985549,1,9001,5
88683659,1,9001,21
19470267,1,9001,4
26015614,997,100,11
18520203,1,9001,7
38905939,997,36,0
61418435,997,6,3
56303770,997,3,7
58577813,999,9001,42
41829570,997,7,5
78096234,997,10,3
57300101,997,5,11
43844651,997,5,27
83914388,997,2,1
17890548,1,9001,3
29664099,1,9001,14
14558526,997,35,1
19369265,1,9001,1
88542764,997,5,5
83079913,1,9001,9
66883812,1,9001,1
44160407,1,9001,1
99426284,1,9001,3
36741410,1,9001,2
12066136,1,9001,2
56268855,997,3,3
71790170,1,9001,1
56725452,1,9001,11
65888368,1,9001,1
27076603,997,20,28
78754706,997,1000,20
21572472,1,9001,9
70840745,997,5,12
13750943,1,9001,4
84786896,997,6,1
94444357,1,9001,5
29184906,997,1,1
51688983,999,9001,19
63866678,997,20,3
95291836,1,9001,3
55816958,1,9001,2
90000869,997,4,5
61051981,1,9001,4
51267470,997,13,3
28653088,999,9001,1
16420388,999,9001,4
79557575,997,30,12
28028420,1,9001,4
69062339,1,9001,6
18723147,1,9001,5
62637506,1,9001,3
17521021,997,3,8
87588690,1,9001,6
80080199,997,3,34
46626598,1,9001,1
34711388,1,9001,13
55787046,1,9001,2
69373872,999,9001,14
76281183,1,9001,32
82408233,997,40,8
34177785,997,5,6
39635444,1,9001,10
79726647,999,9001,8
17003087,997,5,6
72078799,1,9001,4
71960333,1,9001,6
76052461,1,9001,6
13167951,1,9001,2
24809664,1,9001,11
31489875,997,6,18
30040475,997,5,5
95195460,1,9001,7
71542602,1,9001,10
49875021,1,9001,1
97513453,1,9001,2
44463645,1,9001,3
78151694,997,15,18
13444125,997,40,11
42642039,997,3,2
72708443,997,20,1
21228817,1,9001,9
89181039,1,9001,1
70346530,1,9001,4
75083808,997,2,11
16192203,1,9001,5
51580764,1,9001,2
72126980,1,9001,3
31937300,997,100,12
35266739,1,9001,1
19633207,1,9001,4
71798424,997,15,21
43193386,999,9001,4
78845538,999,9001,14
80797993,1,9001,2
93127690,1,9001,5
85430619,1,9001,3
11256889,1,9001,1
68000530,997,10,10
76066410,1,9001,5
88449256,1,9001,2
82344245,997,20,7
12689003,999,9001,5
30549698,1,9001,1
11837502,1,9001,3
70710924,997,30,3
13949447,997,80,2
34821983,1,9001,2
28241619,997,100,5
46838614,997,6,10
85232112,1,9001,2
15806456,1,9001,15
56107256,997,3,5
93580543,1,9001,2
20708861,997,15,4
36292798,997,10,14
65126455,1,9001,13
88500643,1,9001,16
85660649,999,9001,8
81318554,1,9001,6
17897806,997,3,4
58971485,1,9001,2
77283739,997,10,1
15751629,997,5,17
96472017,997,10,7
28574438,997,33,18
55646506,997,4,2
46269850,1,9001,4
35905977,1,9001,8
31244464,999,9001,2
48583070,1,9001,28
81336290,997,5,17
69484780,1,9001,10
53478679,1,9001,8
79834335,1,9001,4
18380719,997,8,6
95096411,997,20,6
88869875,1,9001,3
93903925,997,55,12
83498309,997,15,4
33101941,1,9001,21
85414106,999,9001,1
49059689,1,9001,2
68755928,1,9001,11
48021733,1,9001,2
12037142,999,9001,2
56317255,1,9001,3
43862142,1,9001,3
35572467,1,9001,3
64914252,1,9001,1
98611393,1,9001,12
61193493,1,9001,1
93916891,1,9001,0
45293310,997,9001,3
14847207,1,9001,6
49249560,1,9001,7
62135461,1,9001,3
92618191,1,9001,7
78509088,1,9001,9
90291648,1,9001,2
84252995,1,9001,1
73016379,1,9001,2
99116042,1,9001,31
13643403,997,9001,4
10495813,1,9001,3
34627653,1,9001,4
72459175,1,9001,15
78745890,997,2,2
98326524,1,9001,12
61767959,1,9001,11
84930880,1,9001,5
55603182,1,9001,15
29331062,1,9001,8
11857415,1,9001,2
42555022,997,20,7
64699726,997,2,1
13344417,1,9001,2
31377488,997,4,2
85270245,997,20,5
94917207,1,9001,5
86544485,997,30,2
49658715,1,9001,10
69637785,1,9001,4
11724464,1,9001,8
80581246,1,9001,3
67137517,1,9001,3
85274949,1,9001,11
37783600,1,9001,3
88729992,999,9001,2
31929510,997,8,20
60307151,1,9001,4
17426732,1,9001,9
91265091,997,10,7
50618404,1,9001,3
87490160,999,9001,2
93931754,997,40,12
63521733,1,9001,1
61270511,1,9001,5
22119973,1,9001,9
74002564,999,9001,4
99155650,1,9001,4
21654428,997,100,8
78886714,1,9001,18
75606099,1,9001,2
50668489,997,30,10
85062676,1,9001,10
75580612,997,5,4
35366189,1,9001,14
62826765,997,3,1
77166129,1,9001,7
18994564,1,9001,1
80595998,1,9001,2
79679001,1,9001,12
