Region Code: AS
"Region Name: Asia"
Country Code: THA
"Country Name: Thailand"
Export date: 3/28/2025 9:15:28 AM
Source location: "WHO Mortality Database portal"
Metadata information: 

Indicator Code,Indicator Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
CG0590,Noncommunicable diseases,2019,Female,Age10_14,[10-14],177.00000000,32.53676471,,9.15524502,
CG0590,Noncommunicable diseases,2019,Female,Age15_19,[15-19],289.00000000,29.42973523,,14.65984840,
CG0590,Noncommunicable diseases,2019,Female,Age20_24,[20-24],391.00000000,31.50684932,,16.93266688,
CG0590,Noncommunicable diseases,2019,Female,Age25_29,[25-29],597.00000000,39.17322835,,25.54139631,
CG1480,Injuries,2019,Female,Age40_44,[40-44],599.00000000,12.35306249,,22.75871319,
CG1480,Injuries,2019,Female,Age45_49,[45-49],685.00000000,9.52579613,,25.23962909,
CG1480,Injuries,2019,Female,Age50_54,[50-54],767.00000000,7.48146703,,28.53036270,
CG1480,Injuries,2019,Female,Age55_59,[55-59],769.00000000,5.92313025,,32.19715208,
CG1610,Ill-defined diseases,2019,Female,Age20_24,[20-24],113.00000000,9.10556003,,4.89358404,
CG1610,Ill-defined diseases,2019,Female,Age25_29,[25-29],125.00000000,8.20209974,,5.34786355,
CG1610,Ill-defined diseases,2019,Female,Age30_34,[30-34],203.00000000,10.19588147,,8.93891157,
CG1610,Ill-defined diseases,2019,Female,Age35_39,[35-39],318.00000000,10.09203427,,12.55350041,
CG1610,Ill-defined diseases,2019,Female,Age_unknown,[Unknown],1.00000000,50.00000000,,,
CG0010,"Communicable, maternal, perinatal and nutritional conditions",2019,Male,Age00,[0],1112.00000000,58.43405150,,358.67612385,
CG0010,"Communicable, maternal, perinatal and nutritional conditions",2019,Male,Age05_09,[5-9],88.00000000,13.05637982,,4.45690803,
CG0010,"Communicable, maternal, perinatal and nutritional conditions",2019,Male,Age30_34,[30-34],1061.00000000,17.63630319,,45.92240628,
CG0010,"Communicable, maternal, perinatal and nutritional conditions",2019,Male,Age40_44,[40-44],2300.00000000,17.37685101,,89.91244873,
CG0010,"Communicable, maternal, perinatal and nutritional conditions",2019,Male,Age75_79,[75-79],4281.00000000,15.53000073,,767.33769132,
CG0010,"Communicable, maternal, perinatal and nutritional conditions",2019,Male,Age85_over,[85+],5098.00000000,14.79138861,,1642.16412620,
CG0010,"Communicable, maternal, perinatal and nutritional conditions",2019,Male,Age_unknown,[Unknown],0.00000000,0.00000000,,,
CG0590,Noncommunicable diseases,2019,Male,Age05_09,[5-9],219.00000000,32.49258160,,11.09162339,
CG0590,Noncommunicable diseases,2019,Male,Age15_19,[15-19],443.00000000,13.85674069,,21.36786148,
CG0590,Noncommunicable diseases,2019,Male,Age40_44,[40-44],6163.00000000,46.56240556,,240.92627023,
CG0590,Noncommunicable diseases,2019,Male,Age50_54,[50-54],12689.00000000,59.02684095,,520.46354028,
CG0590,Noncommunicable diseases,2019,Male,Age85_over,[85+],17171.00000000,49.82011257,,5531.11028080,
CG1480,Injuries,2019,Male,Age00,[0],49.00000000,2.57488177,,15.80497308,
CG1480,Injuries,2019,Male,Age05_09,[5-9],304.00000000,45.10385757,,15.39659138,
CG1480,Injuries,2019,Male,Age30_34,[30-34],2402.00000000,39.92686170,,103.96382647,
CG1480,Injuries,2019,Male,Age40_44,[40-44],2871.00000000,21.69084316,,112.23419144,
CG1480,Injuries,2019,Male,Age75_79,[75-79],994.00000000,3.60589132,,178.16717243,
CG1480,Injuries,2019,Male,Age85_over,[85+],522.00000000,1.51453606,,168.14626793,
CG1480,Injuries,2019,Male,Age_unknown,[Unknown],1.00000000,33.33333333,,,
CG1610,Ill-defined diseases,2019,Male,Age15_19,[15-19],167.00000000,5.22364717,,8.05515320,
CG1610,Ill-defined diseases,2019,Male,Age25_29,[25-29],585.00000000,11.85170178,,24.21179234,
CG1610,Ill-defined diseases,2019,Male,Age50_54,[50-54],2918.00000000,13.57398707,,119.68733632,
CG1610,Ill-defined diseases,2019,Male,Age60_64,[60-64],3654.00000000,13.77724154,,224.21827348,
CG0010,"Communicable, maternal, perinatal and nutritional conditions",2019,Female,Age05_09,[5-9],94.00000000,20.12847966,,5.03953623,
CG0010,"Communicable, maternal, perinatal and nutritional conditions",2019,Female,Age15_19,[15-19],152.00000000,15.47861507,,7.71037009,
CG0010,"Communicable, maternal, perinatal and nutritional conditions",2019,Female,Age50_54,[50-54],1310.00000000,12.77799454,,48.72852039,
CG0010,"Communicable, maternal, perinatal and nutritional conditions",2019,Female,Age60_64,[60-64],2164.00000000,13.68494277,,114.39518568,
CG0590,Noncommunicable diseases,2019,Female,Age_all,[All],120183.00000000,56.05158221,229.55576199,359.16144083,
CG0590,Noncommunicable diseases,2019,Female,Age01_04,[1-4],193.00000000,35.15482696,,14.74545374,
CG0590,Noncommunicable diseases,2019,Female,Age35_39,[35-39],1649.00000000,52.33259283,,65.09661063,
CG0590,Noncommunicable diseases,2019,Female,Age45_49,[45-49],4817.00000000,66.98651092,,177.48801947,
CG0590,Noncommunicable diseases,2019,Female,Age80_84,[80-84],13884.00000000,44.61296231,,2565.41019960,
CG1480,Injuries,2019,Female,Age_all,[All],8907.00000000,4.15409370,22.89354586,26.61816524,
CG1480,Injuries,2019,Female,Age25_29,[25-29],458.00000000,30.05249344,,19.59457205,
CG1480,Injuries,2019,Female,Age35_39,[35-39],475.00000000,15.07457950,,18.75129779,
CG1480,Injuries,2019,Female,Age60_64,[60-64],704.00000000,4.45203314,,37.21543933,
CG1480,Injuries,2019,Female,Age70_74,[70-74],483.00000000,2.24640714,,45.99277256,
CG1480,Injuries,2019,Female,Age80_84,[80-84],399.00000000,1.28209248,,73.72505543,
CG1610,Ill-defined diseases,2019,Female,Age01_04,[1-4],67.00000000,12.20400729,,5.11888809,
CG1610,Ill-defined diseases,2019,Female,Age10_14,[10-14],54.00000000,9.92647059,,2.79312560,
CG1610,Ill-defined diseases,2019,Female,Age45_49,[45-49],707.00000000,9.83173411,,26.05024492,
CG1610,Ill-defined diseases,2019,Female,Age55_59,[55-59],1239.00000000,9.54324886,,51.87551551,
