Country,Cases of influenza-like illnesses,Year,Week
Thailand,0,2021,9
Thailand,0,2021,10
Thailand,0,2021,11
Thailand,0,2021,12
Thailand,0,2021,13
Thailand,0,2021,14
Thailand,0,2021,15
Thailand,0,2021,16
Thailand,0,2021,17
Thailand,0,2021,18
Thailand,0,2021,19
Thailand,0,2021,20
Thailand,0,2021,21
Thailand,0,2021,22
Thailand,0,2021,23
Thailand,0,2021,24
Thailand,0,2021,25
Thailand,0,2021,26
Thailand,0,2021,27
Thailand,0,2021,28
Thailand,0,2021,29
Thailand,0,2021,30
Thailand,0,2021,31
Thailand,0,2021,32
Thailand,0,2021,33
Thailand,0,2021,34
Thailand,0,2021,35
Thailand,0,2021,36
Thailand,0,2021,37
Thailand,0,2021,38
Thailand,0,2021,39
Thailand,0,2021,40
Thailand,0,2021,41
Thailand,0,2021,42
Thailand,0,2021,43
Thailand,0,2021,44
Thailand,0,2021,45
Thailand,0,2021,46
Thailand,0,2021,47
Thailand,0,2021,48
Thailand,0,2021,49
Thailand,0,2021,50
Thailand,0,2021,51
Thailand,0,2021,52
Thailand,0,2022,1
Thailand,0,2022,2
Thailand,0,2022,3
Thailand,0,2022,4
Thailand,0,2022,5
Thailand,0,2022,6
Thailand,0,2022,7
Thailand,0,2022,8
Thailand,0,2022,9
Thailand,0,2022,10
Thailand,0,2022,11
Thailand,0,2022,12
Thailand,0,2022,13
Thailand,0,2022,14
Thailand,0,2022,15
Thailand,0,2022,16
Thailand,0,2022,17
Thailand,0,2022,18
Thailand,0,2022,19
Thailand,0,2022,20
Thailand,0,2022,21
Thailand,0,2022,22
Thailand,0,2022,23
Thailand,0,2022,24
Thailand,0,2022,25
Thailand,0,2022,26
Thailand,0,2022,27
Thailand,0,2022,28
Thailand,0,2022,29
Thailand,0,2022,30
Thailand,0,2022,31
Thailand,0,2022,32
Thailand,0,2022,33
Thailand,0,2022,34
Thailand,0,2022,35
Thailand,0,2022,36
Thailand,0,2022,37
Thailand,0,2022,38
Thailand,0,2022,39
Thailand,0,2022,40
Thailand,0,2022,41
Thailand,0,2022,42
Thailand,0,2022,43
Thailand,0,2022,44
Thailand,0,2022,45
Thailand,0,2022,46
Thailand,0,2022,47
Thailand,0,2022,48
Thailand,0,2022,49
Thailand,0,2022,50
Thailand,0,2022,51
Thailand,0,2022,52
Thailand,3,2023,1
Thailand,8,2023,2
Thailand,12,2023,3
Thailand,13,2023,4
Thailand,11,2023,5
Thailand,15,2023,6
Thailand,26,2023,7
Thailand,25,2023,8
Thailand,14,2023,9
Thailand,9,2023,10
Thailand,16,2023,11
Thailand,13,2023,12
Thailand,9,2023,13
Thailand,7,2023,14
Thailand,5,2023,15
Thailand,7,2023,16
Thailand,5,2023,17
Thailand,5,2023,18
Thailand,2,2023,19
Thailand,3,2023,20
Thailand,4,2023,21
Thailand,8,2023,22
Thailand,3,2023,23
Thailand,1,2023,24
Thailand,9,2023,25
Thailand,10,2023,26
Thailand,7,2023,27
Thailand,15,2023,28
Thailand,18,2023,29
Thailand,12,2023,30
Thailand,9,2023,31
Thailand,22,2023,32
Thailand,23,2023,33
Thailand,31,2023,34
Thailand,31,2023,35
Thailand,23,2023,36
Thailand,31,2023,37
Thailand,41,2023,38
Thailand,36,2023,39
Thailand,37,2023,40
Thailand,30,2023,41
Thailand,33,2023,42
Thailand,21,2023,43
Thailand,24,2023,44
Thailand,26,2023,45
Thailand,29,2023,46
Thailand,38,2023,47
Thailand,36,2023,48
Thailand,35,2023,49
Thailand,23,2023,50
Thailand,25,2023,51
Thailand,15,2023,52
Thailand,24,2024,1
Thailand,25,2024,2
Thailand,27,2024,3
Thailand,21,2024,4
Thailand,21,2024,5
Thailand,9,2024,6
Thailand,9,2024,7
Thailand,17,2024,8
Thailand,9,2024,9
Thailand,10,2024,10
Thailand,7,2024,11
Thailand,7,2024,12
Thailand,9,2024,13
Thailand,5,2024,14
Thailand,7,2024,15
Thailand,4,2024,16
Thailand,8,2024,17
Thailand,1,2024,18
Thailand,2,2024,19
Thailand,3,2024,20
Thailand,4,2024,21
Thailand,7,2024,22
Thailand,10,2024,23
Thailand,11,2024,24
Thailand,14,2024,25
Thailand,18,2024,26
Thailand,23,2024,27
Thailand,21,2024,28
Thailand,28,2024,29
Thailand,17,2024,30
Thailand,10,2024,31
Thailand,20,2024,32
Thailand,5,2024,33
Thailand,25,2024,34
Thailand,15,2024,35
Thailand,19,2024,36
Thailand,18,2024,37
Thailand,16,2024,38
Thailand,15,2024,39
Thailand,14,2024,40
Thailand,5,2024,41
Thailand,2,2024,42
Thailand,5,2024,43
Thailand,6,2024,44
Thailand,13,2024,45
Thailand,4,2024,46
Thailand,0,2024,47
